graphic card type,resolution (px),CPU cores,RAM size,operating system,drive type,input devices,multimedia,RAM type,CPU clock speed (GHz),CPU model,state,drive memory size (GB),warranty,screen size,buynow_price
dedicated graphics,1366 x 768,2,4 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.8,intel core i3,new,524,seller warranty,"14"" - 14.9""",1419
integrated graphics,1366 x 768,2,4 gb,['windows 8.1 home 64-bit'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.16,intel celeron dual-core,new,500,seller warranty,"15"" - 15.9""",1149
dedicated graphics,1920 x 1080,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,240,producer warranty,"15"" - 15.9""",3849
dedicated graphics,1920 x 1080,2,12 gb,['no system'],hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr4,2,intel core i3,new,1000,producer warranty,"15"" - 15.9""",2239
dedicated graphics,1920 x 1080,4,8 gb,['no system'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,120,producer warranty,"15"" - 15.9""",6252
integrated graphics,1366 x 768,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.9,intel core i3,new,128,seller warranty,"13"" - 13.9""",1749
dedicated graphics,1366 x 768,2,8 gb,['windows 10 professional'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,1.9,intel core i3,new,1000,producer warranty,"15"" - 15.9""",2069
integrated graphics,1600 x 900,2,,,ssd,,,,,intel core i3,new,,producer warranty,"17"" - 17.9""",2599
integrated graphics,1366 x 768,2,2 gb,,ssd,,,,,intel celeron dual-core,new,32,producer warranty,"11.9"" and less",999
dedicated graphics,1920 x 1080,4,32 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,1000,producer warranty,"15"" - 15.9""",8349
integrated graphics,1920 x 1080,2,8 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",,2.3,intel core i5,new,256,producer warranty,"14"" - 14.9""",3899
integrated graphics,1366 x 768,2,4 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2,intel core i3,new,240,producer warranty,"15"" - 15.9""",2049
integrated graphics,1920 x 1080,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,256,producer warranty,"15"" - 15.9""",3419
dedicated graphics,1920 x 1080,2,8 gb,['no system'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,768,producer warranty,"14"" - 14.9""",3979
dedicated graphics,1920 x 1080,2,16 gb,['windows 10 professional'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,500,producer warranty,"14"" - 14.9""",4868.58
dedicated graphics,1920 x 1080,4,16 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,480,producer warranty,"15"" - 15.9""",7113
dedicated graphics,1920 x 1080,2,16 gb,"['windows 10 home', 'other']",ssd + hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.5,intel core i7,new,2512,producer warranty,"17"" - 17.9""",4299
dedicated graphics,1920 x 1080,4,12 gb,['no system'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,1500,producer warranty,"15"" - 15.9""",5407
dedicated graphics,1920 x 1080,4,32 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers']",ddr4,2.8,intel core i7,new,1000,producer warranty,"15"" - 15.9""",6774
dedicated graphics,1920 x 1080,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2,intel core i3,new,120,producer warranty,"15"" - 15.9""",2429
integrated graphics,1366 x 768,2,4 gb,['windows 10 home'],emmc,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,1.1,intel celeron dual-core,new,64,producer warranty,"14"" - 14.9""",1449
dedicated graphics,1920 x 1080,4,32 gb,['no system'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,240,producer warranty,"15"" - 15.9""",7399
integrated graphics,,2,4 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.9,intel pentium dual-core,new,500,producer warranty,"14"" - 14.9""",1679
dedicated graphics,1600 x 900,2,16 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.5,intel core i7,new,960,producer warranty,"17"" - 17.9""",4509
dedicated graphics,1920 x 1080,4,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.6,intel core i7,new,256,producer warranty,"17"" - 17.9""",3649
integrated graphics,1366 x 768,2,8 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2,intel core i3,new,240,producer warranty,"15"" - 15.9""",1999
dedicated graphics,1920 x 1080,2,12 gb,['no system'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,240,producer warranty,"15"" - 15.9""",3099
dedicated graphics,1920 x 1080,4,16 gb,['no system'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,1000,producer warranty,"15"" - 15.9""",6324
integrated graphics,1920 x 1080,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.4,intel core i3,new,128,producer warranty,"14"" - 14.9""",2819
integrated graphics,1920 x 1080,2,4 gb,['windows 10 home'],ssd,['touchpad'],"['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,480,producer warranty,"15"" - 15.9""",3249
dedicated graphics,1366 x 768,4,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.9,amd a8,new,500,seller warranty,"15"" - 15.9""",1349
integrated graphics,1920 x 1080,2,8 gb,['no system'],,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers']",,,intel core i3,new,240,producer warranty,"15"" - 15.9""",2159
integrated graphics,1920 x 1080,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.4,intel core i3,new,480,producer warranty,"15"" - 15.9""",2899
integrated graphics,3840 x 2160,4,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,1.8,intel core i7,new,512,producer warranty,"13"" - 13.9""",7599
integrated graphics,1920 x 1080,2,12 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr4,2,intel core i3,new,240,producer warranty,"15"" - 15.9""",2579
dedicated graphics,1366 x 768,2,16 gb,['windows 7 professional 64-bit'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.2,intel core i5,new,120,producer warranty,"15"" - 15.9""",3329
integrated graphics,1366 x 768,2,2 gb,['windows 10 home'],emmc,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.1,intel celeron ,new,32,producer warranty,"11.9"" and less",1099
integrated graphics,1366 x 768,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers']",ddr3,2.6,intel core i5,new,500,producer warranty,"15"" - 15.9""",2729
dedicated graphics,1920 x 1080,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,480,producer warranty,"15"" - 15.9""",3849
dedicated graphics,1920 x 1080,4,16 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,1250,producer warranty,"15"" - 15.9""",4549
integrated graphics,1920 x 1080,2,12 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr4,2.5,intel core i5,new,1000,producer warranty,"15"" - 15.9""",4759
dedicated graphics,1920 x 1080,4,12 gb,['no system'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr4,1.6,intel core i5,new,256,producer warranty,"15"" - 15.9""",2969
dedicated graphics,1920 x 1080,4,4 gb,['windows 10 professional'],hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.4,intel core i7,new,500,seller warranty,"14"" - 14.9""",2777.86
dedicated graphics,1920 x 1080,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2,intel core i3,new,120,producer warranty,"15"" - 15.9""",2429
dedicated graphics,1920 x 1080,4,16 gb,['no system'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,1000,producer warranty,"15"" - 15.9""",3999
integrated graphics,1366 x 768,2,8 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,2.1,,new,240,producer warranty,"15"" - 15.9""",2178.99
,1600 x 900,2,2 gb,,hdd,,,ddr4,,intel core i5,new,,producer warranty,,3032.49
dedicated graphics,1920 x 1080,4,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,1000,producer warranty,"15"" - 15.9""",3749
integrated graphics,1366 x 768,2,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.16,intel celeron dual-core,new,500,producer warranty,"15"" - 15.9""",1319
dedicated graphics,1920 x 1080,4,8 gb,['no system'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,240,producer warranty,"15"" - 15.9""",5849
integrated graphics,1600 x 900,2,8 gb,"['windows 7 professional 64-bit', 'windows 10 professional']",ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",,,intel core i5,new,240,producer warranty,"14"" - 14.9""",3990
integrated graphics,1920 x 1080,2,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr4,2.4,intel core i3,new,1000,producer warranty,"15"" - 15.9""",2279
dedicated graphics,1920 x 1080,3,8 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,1128,producer warranty,"15"" - 15.9""",5898
,1366 x 768,4,8 gb,['windows 7 professional 64-bit'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,1.8,amd a6,new,1000,producer warranty,"15"" - 15.9""",1789
dedicated graphics,1920 x 1080,2,4 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2,intel core i3,new,1000,producer warranty,"15"" - 15.9""",3509
integrated graphics,1920 x 1080,2,16 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.4,intel core i3,new,368,producer warranty,"14"" - 14.9""",3449
dedicated graphics,1920 x 1080,4,8 gb,['no system'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.3,intel core i5,new,240,producer warranty,"17"" - 17.9""",3499
integrated graphics,1920 x 1080,2,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,3.1,intel core i5,new,1000,producer warranty,"15"" - 15.9""",2399
dedicated graphics,1920 x 1080,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.3,intel core i3,new,240,producer warranty,"15"" - 15.9""",2799
dedicated graphics,1920 x 1080,4,16 gb,['no system'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,1128,producer warranty,"15"" - 15.9""",6304
dedicated graphics,1920 x 1080,4,8 gb,"['windows 8.1 home 64-bit', 'other']",ssd,"['keyboard', 'touchpad']","['SD card reader', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,500,seller warranty,"15"" - 15.9""",3299
dedicated graphics,1920 x 1080,2,,,ssd,,,,,intel core i7,new,,producer warranty,"15"" - 15.9""",4499
dedicated graphics,1920 x 1080,2,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr4,2,intel core i3,new,1000,producer warranty,"15"" - 15.9""",2299
dedicated graphics,1920 x 1080,4,16 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,480,producer warranty,"15"" - 15.9""",5599
integrated graphics,1366 x 768,2,4 gb,['windows 10 professional'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,2.1,,new,1000,producer warranty,"15"" - 15.9""",1719
dedicated graphics,1920 x 1080,2,16 gb,['windows 10 professional'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,1256,producer warranty,"14"" - 14.9""",5213.07
,,not applicable,,,,,,,,,new,,producer warranty,,5037.9
integrated graphics,1920 x 1080,2,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers']",,2.5,intel core i5,new,1000,producer warranty,"14"" - 14.9""",3449
integrated graphics,1366 x 768,2,8 gb,['no system'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2,intel core i3,new,250,producer warranty,"15"" - 15.9""",2099
integrated graphics,1600 x 900,2,4 gb,['windows 10 professional'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.1,intel pentium dual-core,new,500,producer warranty,"17"" - 17.9""",1849
integrated graphics,1920 x 1080,2,32 gb,['windows 10 professional'],ssd + hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr4,2.5,intel core i5,new,1250,producer warranty,"15"" - 15.9""",4519
integrated graphics,1366 x 768,2,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.1,intel pentium dual-core,new,1000,seller warranty,"15"" - 15.9""",1399
integrated graphics,1366 x 768,2,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.1,intel core i3,new,1000,seller warranty,"15"" - 15.9""",1389
,,1,,,,,,,,,new,,producer warranty,,9610
dedicated graphics,1920 x 1080,2,8 gb,,ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.7,intel core i5,new,256,seller warranty,"15"" - 15.9""",2567
dedicated graphics,1920 x 1080,2,4 gb,,hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.3,intel core i5,new,,producer warranty,"13"" - 13.9""",2299
integrated graphics,1920 x 1080,2,20 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.4,intel core i3,new,1000,producer warranty,"15"" - 15.9""",2849
integrated graphics,1366 x 768,2,6 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.7,intel core i5,new,256,seller warranty,"15"" - 15.9""",1969
integrated graphics,1600 x 900,2,12 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr4,2.5,intel core i5,new,1000,producer warranty,"17"" - 17.9""",5368
integrated graphics,1366 x 768,2,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.6,intel core i5,new,1000,seller warranty,"13"" - 13.9""",1665
integrated graphics,1920 x 1080,2,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.4,intel core i3,new,1000,producer warranty,"14"" - 14.9""",2349
integrated graphics,1920 x 1080,2,4 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2,intel core i3,new,128,producer warranty,"15"" - 15.9""",2799
dedicated graphics,1920 x 1080,2,,,hybrid,,,,,intel core i5,new,,producer warranty,"15"" - 15.9""",2799
dedicated graphics,1366 x 768,2,12 gb,['windows 7 professional 64-bit'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,1.9,intel core i3,new,240,producer warranty,"15"" - 15.9""",2558.99
integrated graphics,1366 x 768,2,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.3,intel core i3,new,1000,producer warranty,"15"" - 15.9""",2496
integrated graphics,1920 x 1080,2,16 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,512,producer warranty,"14"" - 14.9""",8199
integrated graphics,1366 x 768,2,8 gb,"['windows 10 home', 'other']",hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,2.3,intel core i5,new,500,producer warranty,"15"" - 15.9""",1749
integrated graphics,1920 x 1080,2,12 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2,intel core i3,new,480,producer warranty,"15"" - 15.9""",2779
dedicated graphics,1920 x 1080,4,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,480,producer warranty,"15"" - 15.9""",4539
dedicated graphics,1920 x 1080,4,8 gb,['windows 10 professional'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,1000,producer warranty,"15"" - 15.9""",3599
dedicated graphics,1920 x 1080,4,32 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,1000,producer warranty,"15"" - 15.9""",7124
,1366 x 768,4,12 gb,['windows 7 professional 64-bit'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,1.8,amd a6,new,500,producer warranty,"15"" - 15.9""",1849
dedicated graphics,1920 x 1080,4,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers']",,2.8,intel core i7,new,1000,producer warranty,"15"" - 15.9""",4099
dedicated graphics,1366 x 768,4,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2,amd a8,new,500,seller warranty,"15"" - 15.9""",1729
integrated graphics,1920 x 1080,4,12 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,1000,producer warranty,"15"" - 15.9""",6169
dedicated graphics,1920 x 1080,4,,,ssd + hdd,,,,,intel core i7,new,,producer warranty,"15"" - 15.9""",5399
dedicated graphics,1920 x 1080,4,8 gb,['windows 10 professional'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,1256,producer warranty,"15"" - 15.9""",6199
dedicated graphics,1920 x 1080,4,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,480,producer warranty,"15"" - 15.9""",4649
integrated graphics,1366 x 768,4,4 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.2,intel core i7,new,256,seller warranty,"15"" - 15.9""",2153
dedicated graphics,1600 x 900,2,12 gb,['windows 7 professional 64-bit'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.3,intel core i5,new,240,producer warranty,"17"" - 17.9""",3258.99
dedicated graphics,3840 x 2160,4,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,1000,producer warranty,"15"" - 15.9""",5849
dedicated graphics,1920 x 1080,2,16 gb,['windows 10 home'],ssd,['touchpad'],"['SD card reader', 'camera', 'speakers', 'microphone']",,2.5,intel core i5,new,,seller warranty,"15"" - 15.9""",4199
dedicated graphics,1920 x 1080,2,4 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr4,2,intel core i3,new,120,producer warranty,"15"" - 15.9""",2289
dedicated graphics,1366 x 768,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.6,intel core i5,new,256,seller warranty,"15"" - 15.9""",2102
integrated graphics,1366 x 768,2,12 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.1,intel pentium dual-core,new,1000,seller warranty,"15"" - 15.9""",1790
integrated graphics,1366 x 768,2,8 gb,"['windows 10 home', 'other']",hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,2.3,intel core i5,new,500,producer warranty,"15"" - 15.9""",5000
dedicated graphics,1920 x 1080,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.3,intel core i3,new,480,producer warranty,"13"" - 13.9""",3099
integrated graphics,1920 x 1080,2,8 gb,,ssd,['touchpad'],['SD card reader'],ddr4,2.5,intel core i5,new,256,producer warranty,"15"" - 15.9""",2999
dedicated graphics,1920 x 1080,2,8 gb,['windows 10 professional'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.7,intel core i7,new,1000,producer warranty,"15"" - 15.9""",3978.34
integrated graphics,1366 x 768,2,4 gb,['windows 8.1 home 64-bit'],hdd,"['keyboard', 'touchpad']","['SD card reader', 'speakers', 'microphone']",ddr3,1.6,intel pentium dual-core,new,500,seller warranty,"14"" - 14.9""",799
dedicated graphics,1920 x 1080,2,8 gb,"['windows 10 home', 'other']",ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,2.5,intel core i7,new,256,producer warranty,"15"" - 15.9""",2999
,1366 x 768,4,16 gb,['windows 7 professional 64-bit'],,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,1.8,amd a6,new,240,producer warranty,"15"" - 15.9""",2609
dedicated graphics,1920 x 1080,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers']",ddr4,2.5,intel core i5,new,240,producer warranty,"15"" - 15.9""",2999
,,2,,,,,,,,,new,,producer warranty,,2139
dedicated graphics,1920 x 1080,4,12 gb,['no system'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,1000,producer warranty,"15"" - 15.9""",3699
integrated graphics,1366 x 768,2,8 gb,,ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2,intel core i3,new,256,seller warranty,,2178.28
dedicated graphics,2880 x 1620,2,8 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.6,intel core i7,new,256,seller warranty,"15"" - 15.9""",5040.57
integrated graphics,1366 x 768,2,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.7,intel core i3,new,500,seller warranty,"15"" - 15.9""",1429
dedicated graphics,1920 x 1080,4,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr4,2.7,,new,120,producer warranty,"15"" - 15.9""",2549
integrated graphics,1920 x 1080,2,8 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,256,producer warranty,"15"" - 15.9""",3073
integrated graphics,1920 x 1080,2,4 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,256,producer warranty,"14"" - 14.9""",3149
